brand,country,vertical,sov
CheapFlights,Belize,Hotel Citywide,0.0201%
KAYAK,Benin,Car Rentals,16.6667%
Momondo,Benin,Car Rentals,19.4444%
KAYAK,Benin,Flights,13.6456%
CheapFlights,Benin,Flights,10.6036%
Momondo,Benin,Flights,4.2982%
Hotelscombined,Benin,Flights,5.7422%
KAYAK,Benin,Hotel,4.0541%
Hotelscombined,Benin,Hotel,3.7162%
KAYAK,Benin,Hotel Citywide,4.6685%
Momondo,Benin,Hotel Citywide,1.1785%
Hotelscombined,Benin,Hotel Citywide,1.0491%
KAYAK,Benin,Vacations,9.3750%
KAYAK,Bermuda,Car Rentals,25.0000%
KAYAK,Bermuda,Flights,10.4814%
Momondo,Bermuda,Flights,3.6879%
CheapFlights,Bermuda,Flights,4.4255%
Hotelscombined,Bermuda,Flights,7.1817%
KAYAK,Bermuda,Hotel,2.2624%
Hotelscombined,Bermuda,Hotel,6.0238%
Momondo,Bermuda,Hotel,0.1697%
KAYAK,Bermuda,Hotel Citywide,10.7534%
Momondo,Bermuda,Hotel Citywide,1.4126%
Hotelscombined,Bermuda,Hotel Citywide,3.0880%
CheapFlights,Bermuda,Hotel Citywide,0.0329%
Hotelscombined,Bermuda,Vacations,6.2500%
KAYAK,Bhutan,Flights,11.4130%
CheapFlights,Bhutan,Flights,6.5217%
Momondo,Bhutan,Flights,4.8913%
Hotelscombined,Bhutan,Flights,8.1522%
KAYAK,Bhutan,Hotel,3.5714%
Momondo,Bhutan,Hotel,2.6786%
Hotelscombined,Bhutan,Hotel,2.6786%
KAYAK,Bhutan,Hotel Citywide,6.3350%
Hotelscombined,Bhutan,Hotel Citywide,3.4611%
Momondo,Bhutan,Hotel Citywide,1.2361%
Momondo,Bolivia,Car Rentals,21.1628%
KAYAK,Bolivia,Car Rentals,18.4884%
KAYAK,Bolivia,Flights,14.0565%
CheapFlights,Bolivia,Flights,11.9216%
Momondo,Bolivia,Flights,6.9049%
Hotelscombined,Bolivia,Flights,4.3198%
KAYAK,Bolivia,Hotel,4.8175%
Hotelscombined,Bolivia,Hotel,7.5547%
