device,brand,country,vertical,sov
-1,Mundi,Brazil,Hotel,0.7456%
-1,Momondo,Brazil,Hotel,0.1651%
-1,KAYAK,Brazil,Hotel Citywide,16.0759%
-1,Hotelscombined,Brazil,Hotel Citywide,1.5782%
-1,Mundi,Brazil,Hotel Citywide,0.5473%
-1,Momondo,Brazil,Hotel Citywide,1.9067%
-1,Swoodoo,Brazil,Hotel Citywide,0.0018%
-1,Hotelscombined,Brazil,Vacations,10.3198%
-1,KAYAK,Brazil,Vacations,0.4360%
-1,KAYAK,British Indian Ocean Territory,Hotel Citywide,4.1667%
-1,Hotelscombined,British Indian Ocean Territory,Hotel Citywide,4.1667%
-1,KAYAK,British Virgin Islands,Flights,6.8085%
-1,CheapFlights,British Virgin Islands,Flights,3.6702%
-1,Momondo,British Virgin Islands,Flights,1.5426%
-1,Hotelscombined,British Virgin Islands,Flights,2.3404%
-1,KAYAK,British Virgin Islands,Hotel,4.2254%
-1,Momondo,British Virgin Islands,Hotel,0.3521%
-1,Hotelscombined,British Virgin Islands,Hotel,5.6338%
-1,KAYAK,British Virgin Islands,Hotel Citywide,10.7317%
-1,Momondo,British Virgin Islands,Hotel Citywide,1.4024%
-1,Hotelscombined,British Virgin Islands,Hotel Citywide,2.9268%
-1,KAYAK,Brunei,Flights,14.9789%
-1,Momondo,Brunei,Flights,5.0633%
-1,CheapFlights,Brunei,Flights,6.3291%
-1,Hotelscombined,Brunei,Flights,4.2722%
-1,Hotelscombined,Brunei,Hotel,6.3927%
-1,KAYAK,Brunei,Hotel,5.8219%
-1,Momondo,Brunei,Hotel,1.7123%
-1,KAYAK,Brunei,Hotel Citywide,12.4766%
-1,Momondo,Brunei,Hotel Citywide,1.8536%
-1,Hotelscombined,Brunei,Hotel Citywide,2.9283%
-1,Momondo,Bulgaria,Car Rentals,23.0769%
-1,KAYAK,Bulgaria,Car Rentals,7.6923%
-1,CheapFlights,Bulgaria,Flights,9.3783%
-1,KAYAK,Bulgaria,Flights,4.5653%
-1,Momondo,Bulgaria,Flights,4.7267%
-1,Hotelscombined,Bulgaria,Flights,6.7277%
-1,KAYAK,Bulgaria,Hotel,6.7531%
-1,Hotelscombined,Bulgaria,Hotel,3.6076%
